epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,174.826,1.86679,2.43327,1.66013,0.71097,0.47736,0.53129,0.25759,1.93221,1.72372,1.75003,0.000415633,0.000415633,0.000415633
2,337.804,1.83288,1.58403,1.64613,0.69128,0.57743,0.63516,0.30715,1.84712,1.50495,1.67623,0.00081582,0.00081582,0.00081582
3,498.307,1.81089,1.52916,1.63706,0.73081,0.61165,0.66143,0.32836,1.70351,1.48438,1.61644,0.00119951,0.00119951,0.00119951
4,658.857,1.75014,1.43293,1.59217,0.6507,0.64002,0.67351,0.35668,1.66756,1.19019,1.5688,0.00117575,0.00117575,0.00117575
5,819.986,1.70895,1.35493,1.55352,0.79296,0.68281,0.73608,0.39543,1.58213,1.12102,1.52354,0.001151,0.001151,0.001151
7,1141.09,1.63906,1.2238,1.49995,0.78876,0.6769,0.74567,0.44007,1.49104,1.06713,1.45767,0.0011015,0.0011015,0.0011015
6,981.77,1.65563,1.26896,1.51385,0.82505,0.66682,0.75055,0.42383,1.55708,1.06405,1.48479,0.00112625,0.00112625,0.00112625
8,1300.16,1.60455,1.18013,1.48153,0.80777,0.70463,0.75109,0.44157,1.49689,0.99497,1.44039,0.00107675,0.00107675,0.00107675
9,1461.43,1.58279,1.13618,1.45752,0.82081,0.72588,0.78095,0.46088,1.43465,0.9882,1.41808,0.001052,0.001052,0.001052
12,1943.68,1.52,1.05914,1.42459,0.7894,0.73986,0.78524,0.47178,1.4163,0.99354,1.39089,0.00097775,0.00097775,0.00097775
10,1623.51,1.54851,1.10617,1.44026,0.82473,0.7575,0.78535,0.46596,1.47098,0.9399,1.41544,0.00102725,0.00102725,0.00102725
11,1782.35,1.53449,1.07295,1.42711,0.83029,0.75224,0.79102,0.49394,1.36718,0.91788,1.37066,0.0010025,0.0010025,0.0010025
14,2261.95,1.48102,1.01426,1.39428,0.8364,0.74254,0.79623,0.48491,1.40722,0.90945,1.38735,0.00092825,0.00092825,0.00092825
15,2420.26,1.47995,1.01315,1.39641,0.84087,0.75971,0.79745,0.48915,1.37049,0.87944,1.38526,0.0009035,0.0009035,0.0009035
13,2103.51,1.49987,1.03488,1.41492,0.80622,0.78104,0.80508,0.50658,1.34536,0.87237,1.35167,0.000953,0.000953,0.000953
18,2896.54,1.44153,0.96358,1.36916,0.80797,0.76027,0.80741,0.50404,1.35652,0.83446,1.35058,0.00082925,0.00082925,0.00082925
16,2577.66,1.4601,0.98514,1.37986,0.86491,0.75459,0.81255,0.50593,1.37077,0.85435,1.37724,0.00087875,0.00087875,0.00087875
19,3054.83,1.42521,0.94321,1.36595,0.82529,0.78745,0.81283,0.51389,1.32425,0.83213,1.33243,0.0008045,0.0008045,0.0008045
17,2737.67,1.46027,0.97767,1.37783,0.84399,0.77559,0.8192,0.50622,1.35717,0.85273,1.34696,0.000854,0.000854,0.000854
21,3370.91,1.41322,0.93753,1.35228,0.85576,0.77019,0.82083,0.52888,1.31568,0.80289,1.34168,0.000755,0.000755,0.000755
20,3214.23,1.42744,0.93366,1.35137,0.8617,0.78007,0.82226,0.52441,1.32611,0.8082,1.32823,0.00077975,0.00077975,0.00077975
22,3530.58,1.39828,0.93212,1.34547,0.84181,0.78037,0.8245,0.53618,1.30896,0.80338,1.32963,0.00073025,0.00073025,0.00073025
24,3853.5,1.37824,0.90151,1.32023,0.84837,0.76463,0.83069,0.53297,1.31177,0.79449,1.32142,0.00068075,0.00068075,0.00068075
23,3692.53,1.40433,0.9057,1.34452,0.8465,0.76771,0.83292,0.52836,1.30996,0.79678,1.31517,0.0007055,0.0007055,0.0007055
30,4806.66,1.34083,0.84819,1.29966,0.84631,0.79101,0.8343,0.5458,1.28574,0.74994,1.30313,0.00053225,0.00053225,0.00053225
27,4334.13,1.36711,0.8771,1.31866,0.81946,0.80947,0.83476,0.54148,1.28196,0.75941,1.30986,0.0006065,0.0006065,0.0006065
28,4492.54,1.35213,0.87761,1.31931,0.84206,0.77841,0.83477,0.5496,1.2617,0.76374,1.30702,0.00058175,0.00058175,0.00058175
25,4014.54,1.37629,0.8839,1.31767,0.84881,0.79368,0.83588,0.54126,1.28816,0.76353,1.29976,0.000656,0.000656,0.000656
26,4174.02,1.38902,0.89432,1.33722,0.81548,0.79365,0.83659,0.53735,1.29712,0.76828,1.31217,0.00063125,0.00063125,0.00063125
29,4649.74,1.34112,0.85279,1.3077,0.81433,0.81271,0.83815,0.55121,1.30362,0.73986,1.32081,0.000557,0.000557,0.000557
35,5584,1.29596,0.80014,1.27354,0.84364,0.80993,0.84111,0.56277,1.26127,0.7205,1.28407,0.0004085,0.0004085,0.0004085
33,5275.78,1.33284,0.83607,1.29757,0.84801,0.81715,0.84323,0.55448,1.26991,0.73097,1.28659,0.000458,0.000458,0.000458
31,4962.26,1.32888,0.83992,1.29583,0.85625,0.80451,0.84551,0.55099,1.27636,0.72126,1.30002,0.0005075,0.0005075,0.0005075
34,5429.41,1.31112,0.81451,1.28325,0.8354,0.82829,0.84578,0.55185,1.26591,0.71851,1.29495,0.00043325,0.00043325,0.00043325
36,5742.44,1.2966,0.80444,1.27578,0.82869,0.81077,0.84643,0.56777,1.25782,0.71039,1.28789,0.00038375,0.00038375,0.00038375
37,5900.18,1.28418,0.78221,1.27265,0.84923,0.82442,0.85002,0.56676,1.2339,0.70119,1.27193,0.000359,0.000359,0.000359
32,5117.73,1.32445,0.83071,1.29903,0.86917,0.8187,0.85068,0.55528,1.27192,0.72658,1.28836,0.00048275,0.00048275,0.00048275
40,6368.19,1.25373,0.76725,1.25094,0.84991,0.81696,0.85384,0.5705,1.25172,0.69579,1.27525,0.00028475,0.00028475,0.00028475
39,6210.47,1.26621,0.77895,1.26315,0.85469,0.81303,0.85514,0.572,1.23613,0.69303,1.27768,0.0003095,0.0003095,0.0003095
38,6053.6,1.28062,0.78287,1.26938,0.84159,0.83224,0.85523,0.57029,1.24025,0.69513,1.28303,0.00033425,0.00033425,0.00033425
41,6522.55,1.25182,0.7024,1.29514,0.85896,0.80102,0.8562,0.58528,1.22662,0.68632,1.26549,0.00026,0.00026,0.00026
43,6829.24,1.21685,0.67841,1.28243,0.85388,0.81948,0.857,0.57902,1.22069,0.6753,1.26967,0.0002105,0.0002105,0.0002105
42,6674.14,1.23573,0.69226,1.29388,0.85584,0.81867,0.86327,0.58495,1.21896,0.67746,1.26329,0.00023525,0.00023525,0.00023525
