epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,248.222,1.90912,1.91082,1.73036,0.69687,0.54252,0.61279,0.32735,1.76963,2.34908,1.67037,0.0755332,0.000448475,0.000448475
2,495.406,1.8773,1.59679,1.72841,0.6548,0.29018,0.33971,0.17081,2.15531,2.33146,1.95677,0.0509773,0.000892539,0.000892539
3,733.823,1.79012,1.42168,1.66518,0.64866,0.64812,0.67653,0.37031,1.66819,1.50837,1.57472,0.0264154,0.00133066,0.00133066
4,968.84,1.77417,1.37631,1.63656,0.71073,0.62873,0.70061,0.3759,1.668,1.69886,1.58494,0.00184757,0.00176283,0.00176283
5,1204.6,1.72967,1.32076,1.60947,0.76531,0.71251,0.7682,0.43204,1.52398,1.17796,1.49677,0.00175243,0.00175243,0.00175243
6,1441.74,1.68821,1.252,1.57937,0.81473,0.73487,0.78918,0.42795,1.53896,1.02668,1.50544,0.00174054,0.00174054,0.00174054
7,1675.71,1.65063,1.20285,1.55839,0.83215,0.71956,0.80693,0.44763,1.51725,1.06823,1.48136,0.00172865,0.00172865,0.00172865
8,1910.19,1.62733,1.15794,1.53746,0.7129,0.75503,0.76743,0.4525,1.50672,1.04064,1.47562,0.00171676,0.00171676,0.00171676
9,2141.53,1.60408,1.12736,1.52248,0.81298,0.77436,0.81517,0.49264,1.40125,0.90409,1.4296,0.00170486,0.00170486,0.00170486
10,2372.88,1.5876,1.10272,1.50622,0.84717,0.77862,0.81897,0.49474,1.40219,0.88487,1.40566,0.00169297,0.00169297,0.00169297
11,2605.2,1.57566,1.09059,1.50783,0.81798,0.76291,0.82381,0.49452,1.39493,0.96507,1.42657,0.00168108,0.00168108,0.00168108
12,2836.33,1.5577,1.07012,1.48507,0.8048,0.8113,0.83305,0.51451,1.34826,0.82732,1.39258,0.00166919,0.00166919,0.00166919
13,3069.99,1.55128,1.05174,1.48004,0.8455,0.78676,0.84684,0.51961,1.37067,0.83452,1.3799,0.0016573,0.0016573,0.0016573
14,3300.68,1.53637,1.04219,1.47481,0.8239,0.74257,0.81608,0.47407,1.39522,0.91452,1.39929,0.0016454,0.0016454,0.0016454
15,3529.78,1.52461,1.01723,1.45575,0.8226,0.82386,0.84079,0.54093,1.32671,0.81672,1.35242,0.00163351,0.00163351,0.00163351
16,3761.76,1.50568,1.00454,1.44359,0.85294,0.82193,0.85995,0.53897,1.32745,0.80505,1.34105,0.00162162,0.00162162,0.00162162
17,3995.85,1.51162,1.0003,1.44343,0.83678,0.82095,0.84915,0.53282,1.32514,0.80723,1.36535,0.00160973,0.00160973,0.00160973
18,4232.32,1.49869,0.99429,1.43411,0.86318,0.78599,0.85335,0.53449,1.29793,0.79776,1.34514,0.00159784,0.00159784,0.00159784
19,4463.62,1.49256,0.98727,1.43425,0.82594,0.814,0.85914,0.53407,1.30962,0.77236,1.34,0.00158594,0.00158594,0.00158594
20,4696.67,1.48499,0.96387,1.43136,0.83377,0.80787,0.85201,0.54393,1.2937,0.78133,1.33042,0.00157405,0.00157405,0.00157405
21,4927.33,1.46749,0.95768,1.4197,0.84568,0.83552,0.86041,0.54447,1.2948,0.76293,1.33073,0.00156216,0.00156216,0.00156216
22,5161.03,1.47027,0.95181,1.41552,0.85649,0.8298,0.86385,0.54909,1.28284,0.73138,1.33054,0.00155027,0.00155027,0.00155027
23,5390.9,1.4589,0.94106,1.40997,0.86179,0.83423,0.85798,0.54838,1.29317,0.7438,1.32898,0.00153838,0.00153838,0.00153838
24,5622.4,1.45243,0.93804,1.40369,0.8685,0.82863,0.86933,0.56532,1.24521,0.73322,1.30445,0.00152648,0.00152648,0.00152648
25,5854.44,1.45589,0.94644,1.40915,0.8666,0.82527,0.8658,0.56177,1.24269,0.73305,1.30093,0.00151459,0.00151459,0.00151459
26,6086.71,1.44307,0.9276,1.40716,0.87262,0.81904,0.86229,0.55938,1.24781,0.73457,1.30953,0.0015027,0.0015027,0.0015027
27,6319,1.43794,0.90572,1.39431,0.85255,0.83155,0.86987,0.57369,1.2478,0.70141,1.30297,0.00149081,0.00149081,0.00149081
28,6552.33,1.43966,0.92092,1.40026,0.86589,0.84783,0.88107,0.57878,1.23458,0.71042,1.28647,0.00147892,0.00147892,0.00147892
29,6786.34,1.42998,0.91005,1.38217,0.83279,0.84687,0.86464,0.57264,1.26645,0.72385,1.32531,0.00146702,0.00146702,0.00146702
30,7023.93,1.4232,0.89678,1.37744,0.8463,0.83478,0.86152,0.57271,1.21694,0.7268,1.27686,0.00145513,0.00145513,0.00145513
31,7257.41,1.42356,0.89934,1.37879,0.84997,0.84094,0.87294,0.5693,1.22705,0.73425,1.29515,0.00144324,0.00144324,0.00144324
