epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,52.5438,1.89296,2.14576,1.66309,0.50853,0.51993,0.4908,0.23033,1.78267,3.08069,1.68563,0.0756159,0.000446959,0.000446959
2,98.5415,1.81208,1.46062,1.62254,0.4316,0.40436,0.39968,0.19353,1.7924,2.89722,1.62526,0.051059,0.000890122,0.000890122
3,144.114,1.80746,1.45517,1.61926,0.6623,0.41948,0.53691,0.27932,1.76789,2.59534,1.67703,0.0264953,0.00132642,0.00132642
4,189.744,1.78508,1.3987,1.6023,0.6243,0.67369,0.6554,0.33211,1.72014,1.78338,1.57239,0.00192478,0.00175586,0.00175586
5,235.388,1.73773,1.32091,1.57375,0.78754,0.62873,0.69545,0.36672,1.66751,1.30658,1.5351,0.00174511,0.00174511,0.00174511
6,281.001,1.67545,1.23713,1.52632,0.63569,0.75118,0.72251,0.40609,1.49652,1.29729,1.42702,0.00173139,0.00173139,0.00173139
7,326.623,1.65169,1.19599,1.50817,0.7945,0.75075,0.80295,0.48031,1.39122,0.97361,1.35309,0.00171767,0.00171767,0.00171767
8,371.969,1.61733,1.15305,1.48056,0.80171,0.76082,0.81851,0.48655,1.41546,0.95415,1.34191,0.00170395,0.00170395,0.00170395
9,417.325,1.60219,1.11977,1.47377,0.81902,0.77134,0.83072,0.49482,1.41721,0.94008,1.37507,0.00169023,0.00169023,0.00169023
10,462.809,1.57051,1.07877,1.45356,0.84081,0.794,0.84337,0.50397,1.38676,0.84623,1.34211,0.00167651,0.00167651,0.00167651
11,507.974,1.55502,1.06792,1.44682,0.83255,0.75641,0.81624,0.50326,1.35693,0.8488,1.34006,0.00166278,0.00166278,0.00166278
12,552.895,1.55021,1.05272,1.44154,0.82602,0.78945,0.82713,0.51713,1.36654,0.8538,1.33927,0.00164906,0.00164906,0.00164906
13,598.269,1.53431,1.02927,1.42722,0.84298,0.79702,0.84822,0.51628,1.32796,0.81282,1.30273,0.00163534,0.00163534,0.00163534
14,643.59,1.5067,1.00379,1.40315,0.84223,0.78508,0.82522,0.51281,1.34872,0.85602,1.32188,0.00162162,0.00162162,0.00162162
15,688.922,1.51997,0.99804,1.40741,0.84498,0.81255,0.83965,0.53816,1.29217,0.79118,1.29054,0.0016079,0.0016079,0.0016079
