epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,173.217,1.84335,2.2273,1.62413,0.78074,0.71436,0.75632,0.42472,1.51431,0.98594,1.29699,0.00332767,0.00332767,0.00332767
2,339.054,1.67544,1.22033,1.4292,0.79479,0.696,0.78016,0.40477,1.54498,1.09671,1.35458,0.00661028,0.00661028,0.00661028
3,503.208,1.72434,1.30859,1.48797,0.77102,0.62001,0.68561,0.35327,1.63612,1.34965,1.45895,0.00984212,0.00984212,0.00984212
4,666.673,1.76824,1.349,1.52715,0.73204,0.7171,0.75225,0.39145,1.57849,1.11726,1.41843,0.00977154,0.00977154,0.00977154
5,829.907,1.71814,1.25708,1.50381,0.76704,0.72967,0.78194,0.42006,1.56751,1.05492,1.42581,0.00969538,0.00969538,0.00969538
6,993.233,1.66683,1.18015,1.47234,0.80489,0.73225,0.78703,0.43775,1.45008,0.94507,1.35163,0.00961923,0.00961923,0.00961923
7,1156.5,1.63771,1.13941,1.45176,0.83329,0.7329,0.80117,0.47961,1.43677,0.94494,1.38116,0.00954308,0.00954308,0.00954308
8,1319.94,1.60811,1.08453,1.43673,0.83494,0.69836,0.79296,0.46414,1.42056,0.91251,1.354,0.00946692,0.00946692,0.00946692
9,1483.17,1.58176,1.05976,1.42627,0.84409,0.76124,0.8457,0.5021,1.39819,0.8736,1.33932,0.00939077,0.00939077,0.00939077
10,1646.52,1.55747,1.03556,1.40841,0.84036,0.76502,0.82864,0.47038,1.40471,0.86861,1.32786,0.00931462,0.00931462,0.00931462
11,1810.08,1.55197,1.02153,1.3954,0.81423,0.79215,0.84425,0.5094,1.3475,0.85359,1.30925,0.00923846,0.00923846,0.00923846
12,1973.65,1.53213,0.9946,1.38432,0.82414,0.78616,0.82694,0.49732,1.39389,0.84873,1.32803,0.00916231,0.00916231,0.00916231
13,2137.13,1.50854,0.97485,1.36575,0.83478,0.79412,0.85246,0.51732,1.32018,0.82447,1.29778,0.00908615,0.00908615,0.00908615
14,2300.9,1.49489,0.9692,1.36362,0.84077,0.81313,0.85343,0.54407,1.28915,0.80343,1.28367,0.00901,0.00901,0.00901
15,2464.53,1.48513,0.95535,1.35404,0.8613,0.79326,0.86673,0.53373,1.32556,0.81434,1.29751,0.00893385,0.00893385,0.00893385
16,2627.94,1.46909,0.93448,1.34898,0.84022,0.8113,0.86881,0.53601,1.29408,0.74873,1.29268,0.00885769,0.00885769,0.00885769
17,2791.79,1.46533,0.92368,1.34421,0.82804,0.84018,0.86573,0.55522,1.2885,0.73785,1.26421,0.00878154,0.00878154,0.00878154
18,2955.24,1.44719,0.90877,1.33027,0.84084,0.82243,0.85982,0.53706,1.28054,0.77169,1.27621,0.00870538,0.00870538,0.00870538
19,3118.39,1.4315,0.90894,1.32642,0.84707,0.82916,0.86256,0.55519,1.26862,0.74366,1.26979,0.00862923,0.00862923,0.00862923
20,3281.49,1.41769,0.88439,1.31185,0.86354,0.81436,0.86689,0.56639,1.27436,0.7242,1.26461,0.00855308,0.00855308,0.00855308
21,3444.81,1.41462,0.8791,1.30819,0.85165,0.82593,0.88458,0.55955,1.26932,0.71184,1.2694,0.00847692,0.00847692,0.00847692
22,3608.04,1.40626,0.87275,1.30846,0.87156,0.83066,0.86817,0.55045,1.26679,0.71626,1.25892,0.00840077,0.00840077,0.00840077
23,3771.15,1.38903,0.85836,1.29905,0.85755,0.83944,0.87753,0.57239,1.2401,0.6945,1.25721,0.00832462,0.00832462,0.00832462
24,3934.4,1.38401,0.85744,1.29593,0.86044,0.84887,0.87396,0.56138,1.27219,0.71932,1.25425,0.00824846,0.00824846,0.00824846
25,4097.51,1.36971,0.84067,1.27818,0.85862,0.84903,0.87194,0.57453,1.22057,0.68909,1.23302,0.00817231,0.00817231,0.00817231
26,4260.69,1.3642,0.84008,1.27831,0.84457,0.82415,0.86568,0.56106,1.23015,0.69297,1.23345,0.00809615,0.00809615,0.00809615
27,4423.88,1.35703,0.83493,1.28081,0.87133,0.85405,0.88495,0.58103,1.23101,0.6846,1.23843,0.00802,0.00802,0.00802
