epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,159.273,2.18295,2.66594,2.01172,0.04516,0.33755,0.09492,0.02546,3.31324,inf,3.90421,0.0776114,0.00248762,0.00248762
2,319.602,2.15587,2.25459,2.02417,0.57169,0.19439,0.16753,0.08022,2.2748,13.4122,2.31135,0.055029,0.00490529,0.00490529
3,469.793,2.01626,1.95691,1.89944,0.69326,0.35993,0.44447,0.20756,2.01505,3.36941,2.05052,0.0323642,0.00724041,0.00724041
4,620.291,1.97456,1.9005,1.87119,0.40623,0.47552,0.39628,0.18624,1.94171,2.35741,1.89295,0.00961675,0.00949299,0.00949299
5,765.98,1.92071,1.76999,1.82764,0.66447,0.49215,0.53733,0.26359,1.87558,1.88107,1.85516,0.00933967,0.00933967,0.00933967
6,913.061,1.86249,1.66019,1.77717,0.71902,0.54602,0.62496,0.32945,1.75114,1.53682,1.75424,0.00917458,0.00917458,0.00917458
7,1061.74,1.82516,1.59898,1.74299,0.77158,0.53337,0.61789,0.34039,1.62675,1.35804,1.64867,0.0090095,0.0090095,0.0090095
8,1212.29,1.79781,1.55969,1.72298,0.79221,0.62331,0.7039,0.39854,1.58492,1.32797,1.61018,0.00884442,0.00884442,0.00884442
9,1359.77,1.76364,1.4889,1.69586,0.73098,0.61236,0.69671,0.39474,1.61635,1.2368,1.63167,0.00867933,0.00867933,0.00867933
10,1505.37,1.73367,1.44763,1.67143,0.68861,0.60278,0.66049,0.36917,1.61718,1.37447,1.63952,0.00851425,0.00851425,0.00851425
11,1653.59,1.71365,1.39621,1.65523,0.764,0.69287,0.73026,0.4121,1.56051,1.16934,1.59316,0.00834917,0.00834917,0.00834917
12,1801.82,1.69091,1.3538,1.63803,0.76174,0.65222,0.72266,0.41417,1.56554,1.11965,1.59983,0.00818408,0.00818408,0.00818408
13,1948.73,1.69205,1.33912,1.63303,0.86246,0.65669,0.73806,0.41492,1.55201,1.1488,1.56612,0.008019,0.008019,0.008019
14,2098.94,1.66565,1.31297,1.62234,0.7851,0.67608,0.7407,0.42988,1.4956,1.10758,1.55594,0.00785392,0.00785392,0.00785392
15,2243.75,1.628,1.26009,1.58308,0.7727,0.70249,0.76282,0.44667,1.4787,1.06599,1.54541,0.00768883,0.00768883,0.00768883
16,2392.98,1.62556,1.25579,1.57672,0.81168,0.65628,0.74906,0.42839,1.50025,1.08293,1.55449,0.00752375,0.00752375,0.00752375
17,2540.28,1.6107,1.2375,1.57467,0.78979,0.73105,0.76236,0.44868,1.45431,1.02771,1.52722,0.00735867,0.00735867,0.00735867
18,2686.99,1.60759,1.22942,1.57557,0.80904,0.70153,0.76761,0.45918,1.48667,1.02817,1.56615,0.00719358,0.00719358,0.00719358
19,2833.98,1.60451,1.20704,1.58106,0.83408,0.74341,0.77977,0.46601,1.44077,0.95162,1.51788,0.0070285,0.0070285,0.0070285
20,2979.64,1.58015,1.19113,1.55371,0.81822,0.7324,0.7828,0.47103,1.42416,0.94849,1.49977,0.00686342,0.00686342,0.00686342
21,3127.35,1.57423,1.18463,1.55418,0.82464,0.73476,0.77979,0.46657,1.42822,0.98376,1.51094,0.00669833,0.00669833,0.00669833
22,3274.06,1.5468,1.14075,1.52317,0.83524,0.70737,0.78086,0.46712,1.44291,0.96687,1.50531,0.00653325,0.00653325,0.00653325
23,3420.77,1.54222,1.12418,1.52516,0.77409,0.75373,0.77149,0.46962,1.40035,0.95759,1.47743,0.00636817,0.00636817,0.00636817
24,3565.22,1.54572,1.13468,1.52432,0.78775,0.73347,0.78782,0.48968,1.39197,0.94186,1.47319,0.00620308,0.00620308,0.00620308
25,3711.6,1.52395,1.10025,1.51134,0.82508,0.75601,0.78807,0.48899,1.37489,0.90797,1.45896,0.006038,0.006038,0.006038
26,3858.13,1.52672,1.09665,1.51324,0.86396,0.74798,0.79233,0.4876,1.39957,0.90745,1.47426,0.00587292,0.00587292,0.00587292
27,4007.13,1.4983,1.07371,1.49685,0.85526,0.74265,0.80147,0.49576,1.37728,0.89959,1.4599,0.00570783,0.00570783,0.00570783
28,4152.06,1.49918,1.07348,1.49119,0.85072,0.75133,0.79823,0.49727,1.38286,0.87624,1.44789,0.00554275,0.00554275,0.00554275
29,4297.68,1.48163,1.07093,1.48981,0.84046,0.76733,0.80081,0.50266,1.38172,0.89275,1.47462,0.00537767,0.00537767,0.00537767
30,4446.31,1.47521,1.0464,1.46693,0.84279,0.75932,0.80948,0.49997,1.35911,0.85672,1.43422,0.00521258,0.00521258,0.00521258
31,4593.37,1.47502,1.03324,1.47028,0.85171,0.74483,0.79931,0.51143,1.33802,0.8375,1.43012,0.0050475,0.0050475,0.0050475
32,4742.82,1.45359,1.01073,1.45265,0.84765,0.77345,0.81274,0.51397,1.33727,0.84635,1.42141,0.00488242,0.00488242,0.00488242
33,4889.93,1.46472,1.01019,1.45438,0.86281,0.73885,0.8026,0.50515,1.32743,0.8546,1.41889,0.00471733,0.00471733,0.00471733
34,5037.66,1.46326,1.01623,1.46037,0.82807,0.77549,0.81174,0.5173,1.34065,0.82767,1.41877,0.00455225,0.00455225,0.00455225
35,5182.76,1.4429,0.99549,1.43937,0.83926,0.77834,0.81096,0.51997,1.34505,0.836,1.41715,0.00438717,0.00438717,0.00438717
36,5327.32,1.43709,0.99205,1.44759,0.81809,0.78554,0.82078,0.52254,1.32587,0.81608,1.41656,0.00422208,0.00422208,0.00422208
37,5472.5,1.43892,0.98805,1.44293,0.83913,0.77768,0.81505,0.53521,1.29793,0.81223,1.40991,0.004057,0.004057,0.004057
38,5616.53,1.41952,0.97652,1.43738,0.86308,0.76863,0.81792,0.53593,1.29186,0.79934,1.39198,0.00389192,0.00389192,0.00389192
39,5760.82,1.42107,0.96566,1.43382,0.84376,0.77721,0.82106,0.53163,1.29777,0.7814,1.40008,0.00372683,0.00372683,0.00372683
40,5907.86,1.41048,0.95424,1.42465,0.85129,0.78323,0.82399,0.54043,1.29618,0.79342,1.39609,0.00356175,0.00356175,0.00356175
41,6052.66,1.40297,0.93409,1.41892,0.83399,0.79062,0.82614,0.54119,1.28975,0.78428,1.38815,0.00339667,0.00339667,0.00339667
42,6197.26,1.4106,0.95384,1.42626,0.83847,0.79278,0.82565,0.53611,1.27721,0.78401,1.37242,0.00323158,0.00323158,0.00323158
43,6344.14,1.3987,0.94418,1.41397,0.86023,0.7851,0.82586,0.54219,1.28534,0.77773,1.38308,0.0030665,0.0030665,0.0030665
44,6489.59,1.37384,0.9293,1.39748,0.83441,0.78455,0.8333,0.54579,1.27056,0.77802,1.37194,0.00290142,0.00290142,0.00290142
45,6634.91,1.36991,0.91705,1.39532,0.84141,0.78787,0.82713,0.54054,1.27412,0.75751,1.37304,0.00273633,0.00273633,0.00273633
46,6781.92,1.37502,0.92423,1.40131,0.82247,0.79795,0.82654,0.54569,1.25288,0.76331,1.36352,0.00257125,0.00257125,0.00257125
47,6927.05,1.37069,0.90822,1.39635,0.84959,0.80334,0.83497,0.54736,1.25567,0.74087,1.35733,0.00240617,0.00240617,0.00240617
48,7071.9,1.36239,0.90449,1.38502,0.84396,0.79291,0.83023,0.54687,1.26348,0.75261,1.36463,0.00224108,0.00224108,0.00224108
49,7219.29,1.35093,0.88596,1.37762,0.86311,0.78524,0.83416,0.55359,1.24814,0.73539,1.35771,0.002076,0.002076,0.002076
50,7363.94,1.34875,0.88029,1.36568,0.85799,0.79302,0.83301,0.55526,1.24803,0.74318,1.3494,0.00191092,0.00191092,0.00191092
51,7505.22,1.31445,0.7789,1.41405,0.85053,0.80583,0.8396,0.55999,1.24747,0.72351,1.35068,0.00174583,0.00174583,0.00174583
52,7643.45,1.29945,0.76768,1.40006,0.86212,0.80823,0.84727,0.5632,1.22388,0.71453,1.33475,0.00158075,0.00158075,0.00158075
53,7779.66,1.28594,0.75573,1.3929,0.85187,0.80485,0.84457,0.5603,1.22735,0.70798,1.33941,0.00141567,0.00141567,0.00141567
54,7915.29,1.27085,0.74616,1.3864,0.861,0.80142,0.84655,0.56652,1.22232,0.70475,1.33963,0.00125058,0.00125058,0.00125058
55,8053.19,1.25706,0.73713,1.37788,0.82935,0.81509,0.84349,0.56906,1.21169,0.71379,1.33292,0.0010855,0.0010855,0.0010855
