epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,177.309,2.19468,2.65263,2.00816,0.054,0.06832,0.01785,0.00772,nan,nan,nan,0.077487,0.00236324,0.00236324
2,344.57,2.17742,2.33812,2.03848,0.11191,0.07186,0.02908,0.01029,nan,nan,nan,0.0547839,0.00466014,0.00466014
3,509.039,2.0349,2.01972,1.9239,0.55003,0.41806,0.33935,0.15563,1.908,4.77621,1.88278,0.0320025,0.00687874,0.00687874
4,673.746,1.97504,1.91513,1.89534,0.67846,0.47183,0.46133,0.23098,1.90343,3.91905,1.94188,0.00914281,0.00901905,0.00901905
5,836.262,1.92132,1.7918,1.83392,0.77498,0.49185,0.56766,0.30694,1.75348,1.7844,1.81841,0.00887363,0.00887363,0.00887363
6,997.638,1.86689,1.67838,1.79368,0.84268,0.54001,0.64027,0.33251,1.6685,1.42645,1.7082,0.00871704,0.00871704,0.00871704
7,1161.16,1.83079,1.62494,1.76383,0.78485,0.56756,0.65431,0.34452,1.65887,1.68392,1.70528,0.00856045,0.00856045,0.00856045
8,1325.11,1.79952,1.5503,1.74087,0.80145,0.61518,0.69028,0.36242,1.65275,1.35826,1.67091,0.00840386,0.00840386,0.00840386
9,1490.4,1.75973,1.51118,1.71974,0.84902,0.58257,0.68982,0.37078,1.64568,1.19185,1.621,0.00824727,0.00824727,0.00824727
10,1654.55,1.72427,1.42798,1.67282,0.73317,0.58302,0.65044,0.36454,1.61054,1.49181,1.68457,0.00809068,0.00809068,0.00809068
11,1818.09,1.71994,1.40685,1.67764,0.79328,0.63472,0.71784,0.39446,1.58991,1.20014,1.64567,0.00793408,0.00793408,0.00793408
12,1982.86,1.70641,1.39079,1.66278,0.8112,0.68609,0.7401,0.40845,1.549,1.15227,1.59871,0.00777749,0.00777749,0.00777749
13,2147.76,1.66832,1.35005,1.62588,0.7583,0.69858,0.75499,0.43242,1.52689,1.08262,1.56255,0.0076209,0.0076209,0.0076209
14,2308.2,1.67482,1.32841,1.62944,0.80554,0.70233,0.76396,0.43819,1.49151,1.08431,1.5599,0.00746431,0.00746431,0.00746431
15,2473.94,1.63912,1.29323,1.61381,0.75399,0.69439,0.7276,0.41792,1.5293,1.1071,1.59054,0.00730772,0.00730772,0.00730772
