epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,186.031,1.92486,2.13747,1.7281,0.65439,0.37876,0.46762,0.24603,1.92991,5.6329,1.84282,0.0837475,0.000331683,0.000331683
2,361.641,1.87285,1.6914,1.70614,0.6372,0.50479,0.53153,0.27087,1.77427,1.79506,1.72073,0.0674034,0.000654265,0.000654265
3,538.406,1.8764,1.69774,1.72531,0.76861,0.43371,0.5083,0.26154,1.83146,2.09643,1.73273,0.0510486,0.00096607,0.00096607
4,715.912,1.75866,1.48356,1.6269,0.78174,0.63013,0.71172,0.38845,1.60451,1.39808,1.57159,0.0346829,0.0012671,0.0012671
5,887.275,1.74782,1.45935,1.6135,0.7238,0.58375,0.6494,0.35752,1.57357,1.31045,1.55318,0.0183065,0.00155735,0.00155735
6,1059.61,1.72698,1.4346,1.60343,0.77919,0.61994,0.71193,0.38814,1.64646,1.46871,1.5955,0.00191932,0.00183682,0.00183682
7,1233.41,1.71656,1.39507,1.59773,0.79194,0.68797,0.73991,0.41882,1.53533,1.14766,1.49896,0.001806,0.001806,0.001806
8,1404.34,1.67364,1.32346,1.55778,0.80669,0.68509,0.76372,0.41753,1.50449,1.10428,1.49919,0.00177367,0.00177367,0.00177367
9,1577,1.64628,1.29254,1.55219,0.78903,0.69423,0.74883,0.4459,1.46747,1.17032,1.49808,0.00174133,0.00174133,0.00174133
10,1747.89,1.6115,1.23784,1.53179,0.7912,0.65371,0.72694,0.41785,1.53134,1.15448,1.49925,0.001709,0.001709,0.001709
11,1919.47,1.60067,1.2062,1.51647,0.82275,0.73174,0.78275,0.47444,1.44058,1.00361,1.45432,0.00167667,0.00167667,0.00167667
12,2090.2,1.58188,1.17301,1.50339,0.811,0.71974,0.77162,0.4573,1.44923,0.97243,1.45106,0.00164433,0.00164433,0.00164433
13,2262.59,1.55724,1.15109,1.47822,0.77466,0.75674,0.76715,0.46641,1.40469,0.94097,1.44137,0.001612,0.001612,0.001612
14,2433.52,1.54922,1.13683,1.47852,0.84412,0.7074,0.76835,0.48406,1.3796,0.95973,1.41084,0.00157967,0.00157967,0.00157967
15,2604.35,1.53983,1.10415,1.46546,0.77968,0.76336,0.78237,0.48782,1.36923,0.90691,1.42013,0.00154733,0.00154733,0.00154733
16,2776.48,1.5217,1.0953,1.45878,0.82121,0.71402,0.78627,0.47829,1.38882,0.94981,1.43533,0.001515,0.001515,0.001515
17,2944.04,1.51347,1.08618,1.45981,0.79488,0.76405,0.79217,0.48551,1.38617,0.90085,1.39931,0.00148267,0.00148267,0.00148267
18,3114.69,1.50096,1.07651,1.44929,0.83253,0.76286,0.80519,0.50479,1.3533,0.88514,1.39242,0.00145033,0.00145033,0.00145033
19,3289.14,1.48558,1.06368,1.42607,0.81468,0.77491,0.80011,0.50285,1.35845,0.85462,1.38751,0.001418,0.001418,0.001418
20,3460.33,1.478,1.03785,1.42639,0.82659,0.77045,0.81615,0.51208,1.32759,0.83824,1.37471,0.00138567,0.00138567,0.00138567
21,3631.01,1.46328,1.00879,1.41713,0.84231,0.77074,0.81069,0.51916,1.33622,0.83776,1.38191,0.00135333,0.00135333,0.00135333
22,3804.15,1.47011,1.02123,1.42303,0.83255,0.76466,0.80962,0.51945,1.31714,0.8313,1.3631,0.001321,0.001321,0.001321
23,3974.84,1.46056,1.01565,1.41752,0.83542,0.79663,0.82665,0.52305,1.33727,0.79546,1.35664,0.00128867,0.00128867,0.00128867
24,4149.09,1.45849,1.00603,1.40916,0.85426,0.77575,0.82893,0.53009,1.30663,0.78998,1.34482,0.00125633,0.00125633,0.00125633
25,4318.76,1.44478,0.99778,1.40353,0.81139,0.8004,0.82198,0.53071,1.29488,0.80313,1.35551,0.001224,0.001224,0.001224
26,4488.93,1.4331,0.99414,1.39784,0.8111,0.78965,0.81606,0.51929,1.31708,0.80866,1.36882,0.00119167,0.00119167,0.00119167
27,4657.15,1.42794,0.9726,1.38434,0.83869,0.78375,0.82209,0.53414,1.29983,0.77281,1.33414,0.00115933,0.00115933,0.00115933
28,4823.82,1.42405,0.96664,1.3876,0.81421,0.81271,0.82795,0.53379,1.282,0.76993,1.33423,0.001127,0.001127,0.001127
29,4992,1.41611,0.95156,1.3819,0.84635,0.79222,0.8362,0.53557,1.29761,0.75293,1.3396,0.00109467,0.00109467,0.00109467
30,5157.34,1.39722,0.95048,1.37213,0.85414,0.78159,0.8294,0.53688,1.27374,0.75589,1.34029,0.00106233,0.00106233,0.00106233
31,5326.37,1.40051,0.95568,1.37777,0.84285,0.80145,0.8295,0.53548,1.29507,0.75996,1.33517,0.00103,0.00103,0.00103
32,5498.54,1.38648,0.92275,1.36316,0.82507,0.79531,0.82986,0.54806,1.26372,0.74345,1.32973,0.000997667,0.000997667,0.000997667
33,5666.62,1.39628,0.92848,1.36797,0.83845,0.79582,0.83404,0.5396,1.26868,0.75295,1.33257,0.000965333,0.000965333,0.000965333
34,5835.91,1.38667,0.91994,1.35702,0.85698,0.81529,0.84711,0.55004,1.25964,0.72317,1.32693,0.000933,0.000933,0.000933
35,6005.75,1.36904,0.89908,1.35101,0.82756,0.81115,0.83907,0.55148,1.27075,0.73072,1.32447,0.000900667,0.000900667,0.000900667
36,6172.97,1.36612,0.88316,1.34541,0.84676,0.80403,0.84202,0.54494,1.26072,0.73953,1.31486,0.000868333,0.000868333,0.000868333
37,6343.13,1.37465,0.90546,1.35321,0.84514,0.81055,0.83822,0.5453,1.26489,0.72863,1.31538,0.000836,0.000836,0.000836
38,6512.8,1.34604,0.8836,1.33206,0.80843,0.82111,0.83767,0.55495,1.23724,0.7246,1.30392,0.000803667,0.000803667,0.000803667
39,6682.29,1.35592,0.89415,1.33662,0.85281,0.7985,0.84658,0.55898,1.24238,0.71746,1.31155,0.000771333,0.000771333,0.000771333
40,6852.03,1.35538,0.87156,1.3356,0.8503,0.81155,0.84854,0.55598,1.24208,0.72141,1.30629,0.000739,0.000739,0.000739
41,7022.77,1.33206,0.85703,1.31628,0.8312,0.82021,0.84519,0.5571,1.25535,0.72267,1.31134,0.000706667,0.000706667,0.000706667
42,7191.12,1.32923,0.85571,1.31339,0.84628,0.80858,0.84676,0.56698,1.24549,0.69224,1.30185,0.000674333,0.000674333,0.000674333
43,7357.75,1.33935,0.87222,1.32527,0.84143,0.80815,0.84294,0.55852,1.25684,0.72836,1.30545,0.000642,0.000642,0.000642
44,7526.72,1.323,0.84757,1.31597,0.85647,0.79659,0.84562,0.56242,1.23125,0.71524,1.30254,0.000609667,0.000609667,0.000609667
45,7696.82,1.31524,0.84623,1.31834,0.84227,0.81544,0.85543,0.56728,1.22977,0.69218,1.29117,0.000577333,0.000577333,0.000577333
46,7866.29,1.31134,0.83207,1.31566,0.8232,0.82605,0.85147,0.56513,1.23285,0.69877,1.29132,0.000545,0.000545,0.000545
47,8035.12,1.29912,0.82823,1.30009,0.85655,0.81014,0.85445,0.5753,1.21489,0.69535,1.27779,0.000512667,0.000512667,0.000512667
