epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,179.581,1.92422,2.05824,1.71753,0.61422,0.55866,0.57209,0.27791,1.77773,2.36502,1.71711,0.0755249,0.00039797,0.00039797
2,352.542,1.87375,1.62714,1.7015,0.53477,0.60822,0.49357,0.22934,1.96443,3.07044,2.20473,0.0509117,0.000784803,0.000784803
3,521.064,1.79025,1.46927,1.64021,0.77131,0.71596,0.73948,0.3838,1.72894,1.34197,1.62668,0.0262853,0.00115844,0.00115844
4,689.851,1.76453,1.44524,1.62161,0.63145,0.57125,0.60678,0.31875,1.69128,1.74323,1.63333,0.00164577,0.00151887,0.00151887
5,857.845,1.72493,1.36214,1.58691,0.8344,0.63616,0.7313,0.42877,1.55523,1.36511,1.50192,0.0014944,0.0014944,0.0014944
6,1023.94,1.67773,1.27929,1.55761,0.80112,0.73144,0.77231,0.43554,1.56486,1.09451,1.48052,0.001468,0.001468,0.001468
7,1191.87,1.66026,1.25413,1.54468,0.77717,0.74551,0.80172,0.4585,1.45683,1.04276,1.45562,0.0014416,0.0014416,0.0014416
8,1360.42,1.63951,1.21117,1.52955,0.81579,0.71854,0.76773,0.44589,1.48368,1.0589,1.43993,0.0014152,0.0014152,0.0014152
9,1525.69,1.59498,1.16536,1.49589,0.85454,0.77554,0.81018,0.47624,1.40732,0.94911,1.41877,0.0013888,0.0013888,0.0013888
10,1694.97,1.59689,1.15006,1.49862,0.84131,0.70461,0.80477,0.48227,1.45713,0.9581,1.42959,0.0013624,0.0013624,0.0013624
11,1863.79,1.56673,1.11837,1.48085,0.79931,0.79725,0.81285,0.49696,1.37014,0.91011,1.36381,0.001336,0.001336,0.001336
12,2030.11,1.54941,1.09236,1.46784,0.79008,0.80971,0.82739,0.50085,1.43879,0.91056,1.4284,0.0013096,0.0013096,0.0013096
13,2194.67,1.53557,1.06844,1.45118,0.83621,0.80295,0.84438,0.52556,1.34309,0.85551,1.36878,0.0012832,0.0012832,0.0012832
14,2363.14,1.52574,1.04046,1.43768,0.85403,0.78006,0.83854,0.52131,1.35979,0.85786,1.3814,0.0012568,0.0012568,0.0012568
15,2530.43,1.52008,1.03781,1.42891,0.83473,0.78753,0.83525,0.50838,1.36597,0.86358,1.38623,0.0012304,0.0012304,0.0012304
16,2695.61,1.5084,1.02116,1.42935,0.81396,0.81631,0.82512,0.51108,1.32648,0.84104,1.35064,0.001204,0.001204,0.001204
17,2861.2,1.50163,1.00935,1.42337,0.83588,0.8304,0.85536,0.5498,1.30689,0.79391,1.34658,0.0011776,0.0011776,0.0011776
18,3028.29,1.48362,0.99201,1.41169,0.84526,0.834,0.85809,0.52431,1.34049,0.79341,1.35432,0.0011512,0.0011512,0.0011512
19,3192.39,1.47899,0.99418,1.41093,0.86035,0.82471,0.85663,0.54268,1.30309,0.77788,1.33963,0.0011248,0.0011248,0.0011248
20,3360.4,1.4693,0.9796,1.40431,0.85163,0.8417,0.86788,0.55369,1.3035,0.7616,1.33745,0.0010984,0.0010984,0.0010984
21,3526.92,1.4669,0.95689,1.39815,0.84441,0.81731,0.86189,0.56005,1.28519,0.7751,1.33349,0.001072,0.001072,0.001072
22,3693.34,1.45705,0.95919,1.39686,0.84546,0.84217,0.86451,0.54502,1.29131,0.7706,1.33079,0.0010456,0.0010456,0.0010456
23,3858.17,1.44412,0.94285,1.38594,0.8583,0.82592,0.87174,0.55869,1.29764,0.75617,1.33103,0.0010192,0.0010192,0.0010192
24,4024.52,1.43527,0.93684,1.38218,0.84629,0.82345,0.86576,0.55591,1.27136,0.73129,1.31672,0.0009928,0.0009928,0.0009928
25,4188.06,1.42719,0.92635,1.37567,0.85396,0.82028,0.85989,0.55966,1.27022,0.7592,1.30061,0.0009664,0.0009664,0.0009664
26,4353.44,1.4136,0.91751,1.36932,0.83903,0.83116,0.86514,0.56594,1.24505,0.73242,1.31984,0.00094,0.00094,0.00094
27,4515.4,1.39987,0.90676,1.36384,0.8655,0.84145,0.87604,0.56729,1.25153,0.73084,1.32009,0.0009136,0.0009136,0.0009136
28,4683,1.41565,0.91197,1.3703,0.85107,0.84261,0.88241,0.57753,1.25899,0.7172,1.31358,0.0008872,0.0008872,0.0008872
29,4849.06,1.41102,0.91141,1.36801,0.83301,0.84338,0.87431,0.57306,1.26978,0.74159,1.30761,0.0008608,0.0008608,0.0008608
30,5011.27,1.38778,0.89952,1.3488,0.86512,0.83266,0.87944,0.5754,1.24123,0.69824,1.29192,0.0008344,0.0008344,0.0008344
31,5179.48,1.39716,0.89471,1.35436,0.85903,0.83962,0.87214,0.5787,1.23119,0.70252,1.28571,0.000808,0.000808,0.000808
32,5345.31,1.3894,0.88173,1.34652,0.87991,0.83106,0.88406,0.57949,1.22816,0.69166,1.29167,0.0007816,0.0007816,0.0007816
33,5511.25,1.37766,0.87743,1.34039,0.86914,0.84189,0.8784,0.57779,1.21649,0.70112,1.28733,0.0007552,0.0007552,0.0007552
34,5674.74,1.36662,0.87052,1.3364,0.85109,0.84667,0.88378,0.59014,1.20085,0.67914,1.26618,0.0007288,0.0007288,0.0007288
35,5844.26,1.3685,0.86421,1.33285,0.85887,0.84952,0.87507,0.57593,1.25507,0.71805,1.30111,0.0007024,0.0007024,0.0007024
36,6017.51,1.36145,0.84192,1.33432,0.87502,0.85729,0.88108,0.58588,1.21341,0.68092,1.28406,0.000676,0.000676,0.000676
37,6186.15,1.35744,0.84605,1.33154,0.87085,0.86581,0.88966,0.58807,1.22836,0.68074,1.28424,0.0006496,0.0006496,0.0006496
38,6353.15,1.34606,0.83164,1.31557,0.85693,0.87643,0.88637,0.59043,1.21331,0.65964,1.28202,0.0006232,0.0006232,0.0006232
39,6517.66,1.34346,0.84194,1.31497,0.86898,0.83766,0.88649,0.59573,1.22921,0.6662,1.2986,0.0005968,0.0005968,0.0005968
40,6686.4,1.32548,0.82865,1.30954,0.87268,0.84792,0.88981,0.59825,1.20279,0.66359,1.26996,0.0005704,0.0005704,0.0005704
41,6856.08,1.32765,0.81923,1.31481,0.86992,0.84662,0.88855,0.59173,1.20733,0.65803,1.27343,0.000544,0.000544,0.000544
42,7024.18,1.32033,0.82642,1.30869,0.865,0.8596,0.89522,0.59547,1.20474,0.67337,1.27035,0.0005176,0.0005176,0.0005176
43,7192.12,1.30537,0.79868,1.29391,0.86629,0.85544,0.89224,0.60058,1.18969,0.65258,1.26189,0.0004912,0.0004912,0.0004912
44,7358.14,1.31108,0.80629,1.30218,0.843,0.85876,0.89025,0.60262,1.18815,0.64665,1.25908,0.0004648,0.0004648,0.0004648
45,7527.14,1.31314,0.80054,1.28995,0.87844,0.84001,0.88708,0.60762,1.16509,0.64851,1.24925,0.0004384,0.0004384,0.0004384
46,7696.3,1.30261,0.80732,1.29285,0.8905,0.83405,0.896,0.6105,1.18155,0.64246,1.26472,0.000412,0.000412,0.000412
47,7864.6,1.29666,0.77921,1.29264,0.88222,0.83806,0.89832,0.60976,1.18161,0.63727,1.26108,0.0003856,0.0003856,0.0003856
48,8031.9,1.29542,0.7917,1.29136,0.89345,0.84529,0.90127,0.60715,1.18499,0.63874,1.25576,0.0003592,0.0003592,0.0003592
49,8198.57,1.28818,0.7793,1.28305,0.89029,0.83943,0.89706,0.61384,1.1697,0.6315,1.25237,0.0003328,0.0003328,0.0003328
50,8364.59,1.27647,0.77661,1.27495,0.89558,0.84336,0.90121,0.61588,1.16039,0.62042,1.24221,0.0003064,0.0003064,0.0003064
51,8505.14,1.23018,0.66933,1.30418,0.88312,0.85835,0.89513,0.61511,1.1698,0.62691,1.24048,0.00028,0.00028,0.00028
