epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,239.59,1.90912,1.91082,1.73036,0.69687,0.54252,0.61268,0.32734,1.70908,2.21378,1.64493,0.0755332,0.000448475,0.000448475
2,471.965,1.8778,1.58467,1.72708,0.73337,0.45535,0.50667,0.20849,2.07613,2.31314,2.02157,0.0509731,0.000888357,0.000888357
3,698.871,1.78642,1.40819,1.66154,0.8424,0.62391,0.72925,0.38888,1.58559,1.26086,1.55875,0.0264028,0.0013181,0.0013181
4,925.297,1.77461,1.36569,1.63907,0.76394,0.6386,0.68915,0.35464,1.65745,1.2527,1.59571,0.00182246,0.00173771,0.00173771
5,1151.84,1.7223,1.3138,1.60364,0.82047,0.63261,0.72585,0.40308,1.58747,1.1755,1.53945,0.00171892,0.00171892,0.00171892
6,1379.08,1.68619,1.24638,1.57385,0.85402,0.68474,0.80975,0.44915,1.4262,1.1132,1.45038,0.00169865,0.00169865,0.00169865
7,1604.94,1.65525,1.2049,1.55634,0.82288,0.69371,0.78695,0.44059,1.487,0.94825,1.44258,0.00167838,0.00167838,0.00167838
8,1828.85,1.62085,1.1451,1.52457,0.83647,0.76346,0.80745,0.49047,1.38626,0.92023,1.41342,0.00165811,0.00165811,0.00165811
9,2053.98,1.5983,1.12847,1.51879,0.82928,0.7858,0.82488,0.50486,1.3259,0.84383,1.38467,0.00163784,0.00163784,0.00163784
10,2280.21,1.58519,1.10083,1.49741,0.82547,0.79877,0.83524,0.51943,1.37055,0.86076,1.38871,0.00161757,0.00161757,0.00161757
11,2506.16,1.57075,1.07851,1.49803,0.88842,0.7074,0.82944,0.50582,1.3828,0.85772,1.39781,0.0015973,0.0015973,0.0015973
12,2732.2,1.55494,1.06802,1.47851,0.82587,0.78888,0.83447,0.50185,1.347,0.8391,1.37912,0.00157703,0.00157703,0.00157703
