epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,218.75,1.85339,2.40741,1.63384,0.7266,0.71185,0.73677,0.38287,1.60469,1.46031,1.42897,0.00332203,0.00332203,0.00332203
2,461.929,1.65858,1.2093,1.42288,0.7331,0.76812,0.78437,0.44069,1.52357,1.00498,1.3244,0.00658049,0.00658049,0.00658049
3,687.383,1.70937,1.24331,1.45007,0.73948,0.53784,0.57054,0.2434,1.95524,1.72053,1.6874,0.00976395,0.00976395,0.00976395
4,893.575,1.76919,1.34692,1.52,0.65205,0.51385,0.56594,0.3031,1.72783,1.65911,1.55167,0.0096625,0.0096625,0.0096625
5,1096.32,1.71457,1.26685,1.4997,0.7161,0.71475,0.7104,0.35384,1.72197,1.15343,1.50039,0.00955,0.00955,0.00955
6,1303.66,1.66195,1.183,1.46464,0.78727,0.72658,0.77967,0.43129,1.52993,1.01106,1.39132,0.0094375,0.0094375,0.0094375
7,1507.48,1.63403,1.12681,1.44099,0.845,0.70538,0.78436,0.44702,1.48683,1.02175,1.39144,0.009325,0.009325,0.009325
8,1712.77,1.61924,1.09275,1.43031,0.75788,0.79301,0.79359,0.4649,1.42729,0.92566,1.33908,0.0092125,0.0092125,0.0092125
9,1919.87,1.5965,1.05557,1.41344,0.78557,0.75259,0.81937,0.46277,1.47486,0.96959,1.37867,0.0091,0.0091,0.0091
10,2123.21,1.56355,1.03331,1.39487,0.79204,0.78364,0.82386,0.48052,1.4261,0.92494,1.34561,0.0089875,0.0089875,0.0089875
11,2326.82,1.54377,1.01614,1.3786,0.82009,0.80015,0.84619,0.51729,1.36495,0.84259,1.32646,0.008875,0.008875,0.008875
12,2532.28,1.52608,0.99196,1.37386,0.85363,0.80706,0.85158,0.51649,1.37765,0.85251,1.31733,0.0087625,0.0087625,0.0087625
13,2736.67,1.52351,0.97369,1.36999,0.82762,0.78252,0.83253,0.51117,1.35181,0.87311,1.31355,0.00865,0.00865,0.00865
14,2939.46,1.49748,0.94511,1.36031,0.82903,0.81703,0.84672,0.51175,1.3531,0.84205,1.31594,0.0085375,0.0085375,0.0085375
15,3145.2,1.49187,0.94107,1.35234,0.83576,0.79591,0.86168,0.51838,1.3544,0.80627,1.30425,0.008425,0.008425,0.008425
16,3351.93,1.47359,0.93463,1.33676,0.85103,0.80482,0.8575,0.53676,1.32758,0.81175,1.27825,0.0083125,0.0083125,0.0083125
17,3557.46,1.46054,0.92161,1.33068,0.84466,0.8377,0.86927,0.54964,1.29586,0.79639,1.28573,0.0082,0.0082,0.0082
18,3762.37,1.44598,0.90947,1.32637,0.83829,0.8149,0.85359,0.52835,1.32563,0.80785,1.29258,0.0080875,0.0080875,0.0080875
19,3971.8,1.43421,0.89314,1.31511,0.83207,0.83107,0.86598,0.54149,1.28978,0.76862,1.26306,0.007975,0.007975,0.007975
20,4176.98,1.42431,0.88392,1.30764,0.84735,0.81329,0.86162,0.5566,1.28462,0.7644,1.24918,0.0078625,0.0078625,0.0078625
21,4382.58,1.40575,0.87075,1.29849,0.86166,0.80313,0.85426,0.54515,1.30046,0.76295,1.29371,0.00775,0.00775,0.00775
22,4584.2,1.40047,0.86683,1.29591,0.8589,0.84203,0.89006,0.5724,1.29075,0.73873,1.29174,0.0076375,0.0076375,0.0076375
23,4786.93,1.38921,0.85135,1.29115,0.87129,0.82683,0.88884,0.57697,1.26079,0.71448,1.25592,0.007525,0.007525,0.007525
24,4986.93,1.38293,0.84108,1.28765,0.87068,0.82141,0.87053,0.56498,1.25348,0.76565,1.2456,0.0074125,0.0074125,0.0074125
25,5192.28,1.37443,0.83454,1.27557,0.8715,0.83127,0.88442,0.55575,1.27415,0.73851,1.26091,0.0073,0.0073,0.0073
26,5397.73,1.36777,0.83749,1.27264,0.84728,0.84115,0.87727,0.57401,1.26679,0.71628,1.25596,0.0071875,0.0071875,0.0071875
27,5599.12,1.36182,0.83064,1.26571,0.86982,0.84351,0.87627,0.57934,1.23784,0.72744,1.22131,0.007075,0.007075,0.007075
28,5800.81,1.33722,0.81666,1.25752,0.84168,0.85937,0.86916,0.57077,1.24465,0.70669,1.23148,0.0069625,0.0069625,0.0069625
29,6000.63,1.34831,0.81426,1.26082,0.84684,0.84115,0.87636,0.59166,1.22426,0.71779,1.23321,0.00685,0.00685,0.00685
30,6202.38,1.33462,0.79402,1.252,0.85961,0.85621,0.88137,0.59146,1.20852,0.69597,1.21546,0.0067375,0.0067375,0.0067375
31,6403.83,1.32258,0.79785,1.24483,0.86174,0.85457,0.89668,0.59339,1.22308,0.69703,1.22604,0.006625,0.006625,0.006625
32,6604.46,1.31749,0.7933,1.24593,0.8514,0.85166,0.87934,0.58577,1.23797,0.685,1.23735,0.0065125,0.0065125,0.0065125
33,6809.85,1.31101,0.79347,1.23738,0.86032,0.85041,0.88284,0.58387,1.21871,0.69936,1.21676,0.0064,0.0064,0.0064
34,7015.37,1.2981,0.77534,1.23394,0.87421,0.8406,0.89116,0.59466,1.19991,0.6629,1.23057,0.0062875,0.0062875,0.0062875
35,7224.6,1.29583,0.77047,1.22982,0.84228,0.88657,0.8942,0.59204,1.23455,0.6829,1.22124,0.006175,0.006175,0.006175
36,7435.09,1.29013,0.77032,1.22888,0.85784,0.84013,0.88739,0.59837,1.22216,0.69564,1.21146,0.0060625,0.0060625,0.0060625
37,7643.38,1.28157,0.76523,1.22547,0.86323,0.85305,0.89268,0.60596,1.19525,0.66462,1.1992,0.00595,0.00595,0.00595
38,7850.98,1.28745,0.7626,1.22711,0.86941,0.86124,0.89024,0.60137,1.20496,0.66589,1.2061,0.0058375,0.0058375,0.0058375
39,8057.45,1.26524,0.74781,1.21935,0.84929,0.84954,0.89602,0.61682,1.19037,0.6539,1.19864,0.005725,0.005725,0.005725
40,8256.13,1.2654,0.74603,1.21706,0.86806,0.85987,0.89,0.60627,1.1937,0.64777,1.20785,0.0056125,0.0056125,0.0056125
41,8454.8,1.26755,0.7463,1.21599,0.8819,0.85501,0.90488,0.61062,1.18199,0.64572,1.19324,0.0055,0.0055,0.0055
42,8655.6,1.24961,0.73387,1.20212,0.88862,0.84432,0.89546,0.60489,1.18583,0.63176,1.21624,0.0053875,0.0053875,0.0053875
43,8853.71,1.24099,0.72814,1.19839,0.85759,0.86285,0.89749,0.61198,1.16368,0.63577,1.17832,0.005275,0.005275,0.005275
44,9054.92,1.24922,0.72798,1.20915,0.8821,0.85659,0.89541,0.61227,1.17699,0.62922,1.18568,0.0051625,0.0051625,0.0051625
45,9262.66,1.24345,0.72058,1.19627,0.89703,0.829,0.89229,0.60975,1.16348,0.63594,1.16942,0.00505,0.00505,0.00505
46,9470.37,1.23216,0.71806,1.19516,0.8714,0.84809,0.89142,0.61484,1.17706,0.65406,1.18281,0.0049375,0.0049375,0.0049375
47,9679.94,1.21838,0.71431,1.19607,0.87094,0.85774,0.904,0.62248,1.15382,0.62959,1.18033,0.004825,0.004825,0.004825
48,9888.35,1.22441,0.72169,1.19442,0.88321,0.85475,0.8996,0.61778,1.16955,0.62871,1.17895,0.0047125,0.0047125,0.0047125
49,10097.4,1.21763,0.71127,1.19032,0.87717,0.86773,0.90385,0.6295,1.14495,0.62082,1.17835,0.0046,0.0046,0.0046
50,10306.5,1.21705,0.70935,1.18953,0.87199,0.86334,0.90129,0.62397,1.14732,0.62141,1.17506,0.0044875,0.0044875,0.0044875
51,10515.8,1.20028,0.69638,1.17959,0.87571,0.86667,0.90703,0.62921,1.14356,0.61782,1.17205,0.004375,0.004375,0.004375
52,10724.5,1.19692,0.69128,1.18146,0.88008,0.8578,0.90127,0.62069,1.14615,0.62129,1.17542,0.0042625,0.0042625,0.0042625
53,10934.2,1.18534,0.68587,1.17476,0.88591,0.85239,0.90041,0.6225,1.14473,0.63392,1.1787,0.00415,0.00415,0.00415
54,11145.6,1.18688,0.6913,1.17271,0.88395,0.85676,0.90419,0.62511,1.13505,0.61514,1.17617,0.0040375,0.0040375,0.0040375
55,11354.9,1.1762,0.67812,1.16947,0.86715,0.86323,0.90161,0.62689,1.1393,0.61897,1.1751,0.003925,0.003925,0.003925
56,11566.5,1.17688,0.67888,1.1697,0.87653,0.85343,0.90514,0.62938,1.14039,0.61896,1.18006,0.0038125,0.0038125,0.0038125
57,11779.2,1.17261,0.6781,1.16855,0.87333,0.86389,0.90643,0.63905,1.12689,0.61486,1.17186,0.0037,0.0037,0.0037
58,11991.3,1.15718,0.67136,1.15489,0.88617,0.8576,0.90074,0.62036,1.12453,0.61542,1.16307,0.0035875,0.0035875,0.0035875
59,12203.6,1.1558,0.67144,1.15465,0.88788,0.8638,0.89844,0.62604,1.11097,0.59983,1.16187,0.003475,0.003475,0.003475
60,12418.1,1.15663,0.66895,1.15776,0.86743,0.86678,0.89926,0.63303,1.11945,0.60482,1.16441,0.0033625,0.0033625,0.0033625
61,12632,1.14145,0.65779,1.14956,0.87675,0.86102,0.90218,0.63156,1.12842,0.6026,1.1654,0.00325,0.00325,0.00325
62,12843.2,1.14649,0.66087,1.15401,0.87296,0.86608,0.90711,0.63507,1.12356,0.60121,1.16353,0.0031375,0.0031375,0.0031375
63,13055.7,1.13735,0.64375,1.14495,0.88651,0.85574,0.90333,0.64119,1.12372,0.60284,1.16437,0.003025,0.003025,0.003025
64,13265.8,1.13924,0.65041,1.1508,0.88619,0.86348,0.90974,0.64227,1.12652,0.60413,1.16469,0.0029125,0.0029125,0.0029125
65,13475.4,1.13295,0.64896,1.14729,0.88603,0.8566,0.90844,0.6368,1.13111,0.60255,1.16663,0.0028,0.0028,0.0028
66,13683.6,1.12708,0.64531,1.14111,0.89166,0.85936,0.90681,0.63938,1.12407,0.59806,1.16563,0.0026875,0.0026875,0.0026875
67,13892.9,1.11545,0.63457,1.13634,0.88465,0.86076,0.90497,0.63641,1.12448,0.59343,1.16172,0.002575,0.002575,0.002575
68,14100.8,1.11387,0.63392,1.1344,0.89392,0.85631,0.9042,0.63716,1.12507,0.59323,1.16145,0.0024625,0.0024625,0.0024625
69,14309.6,1.11545,0.63431,1.13362,0.90137,0.84618,0.90619,0.64302,1.12014,0.59103,1.16393,0.00235,0.00235,0.00235
70,14518.2,1.10649,0.63194,1.13561,0.88522,0.86129,0.90714,0.64136,1.11989,0.58616,1.1632,0.0022375,0.0022375,0.0022375
71,14726.5,1.09309,0.62727,1.12478,0.88027,0.86735,0.90733,0.64257,1.13066,0.58927,1.16481,0.002125,0.002125,0.002125
72,14932.5,1.09497,0.62737,1.12921,0.88599,0.86544,0.90637,0.6432,1.13118,0.58513,1.1647,0.0020125,0.0020125,0.0020125
73,15143.4,1.07681,0.61139,1.1195,0.87479,0.86533,0.90626,0.64414,1.12542,0.58772,1.16243,0.0019,0.0019,0.0019
74,15352.1,1.08183,0.6114,1.11743,0.88151,0.86503,0.90721,0.643,1.121,0.58868,1.15859,0.0017875,0.0017875,0.0017875
